ï»¿id|faction_id|name|legend|description|detachment|
000008393|AC|Martial Mastery|The Custodians have perfected countless ways of making war, be it on a personal, tactical or strategic scale.|At the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, you can select one of the bullet points below. If you do, until the start of the next battle round, that bullet pointâs effects apply.<br><ul><li>Each time an <span class="tooltip00309" data-tooltip-content="#tooltip_content00309" data-tooltip-anchor="#tooltip_content00309"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model from your army with the <span class="tooltip00263" data-tooltip-content="#tooltip_content00263"><span class="tt kwbu">Martial</span> <span class="tt kwbu">Kaâtah</span></span> ability makes a melee attack, a successful unmodified <span class="tooltip00017" data-tooltip-content="#tooltip_content00017"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a <span class="tooltip00017" data-tooltip-content="#tooltip_content00017"><span class="tt kwbu">Critical</span> <span class="tt kwbu">Hit</span></span>.</li><li>Improve the Armour Penetration characteristic of melee weapons equipped by <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> models from your army with the Martial Kaâtah ability by 1.</li></ul>|Shield Host|
000008920|AC|Revered Companions|The Custodians and the Silent Sisters often fought as one during the earliest days of the Imperium. Ten thousand years on, they have lost none of the unity of doctrine and purpose that makes them such a deadly combination.|<span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> units from your army gain the following the ability:<br><br><b>Null Aegis (Aura):</b> While an <span class="tooltip00309" data-tooltip-content="#tooltip_content00309" data-tooltip-anchor="#tooltip_content00309"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> unit is within 6" of this unit, models in that unit have the <span class="tooltip00177" data-tooltip-content="#tooltip_content00177"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability against <span class="tooltip00341" data-tooltip-content="#tooltip_content00341"><span class="tt kwbu">Psychic</span> <span class="tt kwbu">Attacks</span></span> and <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>.<br><br>All other <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> units from your army gain the following ability:<br><br><b>Deadly Unity (Aura):</b> While an <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit is within 6" of this unit, each time a model in that <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit makes an attack, add 1 to the <span class="tooltip00017" data-tooltip-content="#tooltip_content00017"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>.|Talons Of The Emperor|
000008924|AC|Creeping Dread (Aura)|The instinctive fear caused by the Pariah gene spreads like a terrible pall before the cadres of the Silent Sisterhood.|In the <span class="tooltip00011" data-tooltip-content="#tooltip_content00011"><span class="tt kwbu">Battle-shock</span></span> step of your opponentâs <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if an enemy unit that is either a <span class="kwb">PSYKER</span> unit or below its <span class="tooltip00059" data-tooltip-content="#tooltip_content00059"><span class="tt kwbu">Starting</span> <span class="tt kwbu">Strength</span></span> is within 12" of one or more <span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> models from your army, that enemy unit must take a <span class="tooltip00011" data-tooltip-content="#tooltip_content00011"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">test</span></span>. If that unit is <span class="tooltip00060" data-tooltip-content="#tooltip_content00060"><span class="tt kwbu">Below</span> <span class="tt kwbu">Half-strength</span></span>, it must subtract 1 from its Battle-shock test this phase instead.<br><br><b>Designerâs Note:</b> <i>This means that all enemy <span class="kwb">PSYKER</span> units within range of this <span class="tooltip00016" data-tooltip-content="#tooltip_content00016"><span class="tt kwbu">Aura</span> <span class="tt kwbu">ability</span></span> and all enemy units within range of this Aura ability that have lost one or more models must take a Battle-shock test in your opponents Command phase, not just those that are Below Half-strength.</i>|Null Maiden Vigil|
000008925|AC|KEYWORDS||If you select this Detachment, <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Prosecutors"><span class="kwb kwbo">PROSECUTORS</span></a> units from your army have the <span class="kwb">BATTLELINE</span> keyword.|Null Maiden Vigil|
000008929|AC|Assemblage of Might|When such exceptional warriors as these gather to quest in the Emperors name, even the most dreadful foes of Humanity are right to fear for their lives.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponentâs army. Until the start of your next Command phase, each time a model in an <span class="tooltip00507" data-tooltip-content="#tooltip_content00507" data-tooltip-anchor="#tooltip_content00507"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">CHARACTER</span></span> unit from your army makes an attack that targets that enemy unit, add 1 to the <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span>.|Auric Champions|
000009263|AC|Overwhelming Magnificence|To confront the towering, auramite-clad warriors of the Adeptus Custodes across an open battlefield is terrifying enough. To meet them in the cramped confines of a voidship is so overwhelming as to render many foes witless.|While an enemy unit is within <a href="/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range">Engagement Range</a> of one or more <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> units from your army, subtract 1 from the Objective Control characteristic of models in that enemy unit.|Voyagers in Darkness|
000009272|AC|Priority Quarry|With merciless efficiency, the Sisters of Silence mark their priority prey amidst the maelstrom of shiphoard combat, then focus on their elimination above all else.|At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, you can select up to two enemy units to be your armyâs quarry, one of which must be your opponents <span class="kwb">WARLORD</span>. Each time an <span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> unit from your army makes an attack that targets one of your armyâs quarries, re-roll a <span class="tooltip00017" data-tooltip-content="#tooltip_content00017"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 1. Each time an <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit from your army <span class="tooltip00049" data-tooltip-content="#tooltip_content00049"><span class="tt kwbu">declares</span> <span class="tt kwbu">a</span> <span class="tt kwbu">charge</span></span>, it can include one or more of your armyâs quarries as targets of that charge, even if they are not <a href="/wh40k10ed/the-rules/core-rules/#Determining-Visibility">visible</a> to it.|Black Ship Guardians|
000009752|AC|Auric Armour|The venerable war engines of the Adeptus Custodes possess aggressive machine spirits.|<ul><li>While an <span class="tooltip00312" data-tooltip-content="#tooltip_content00312" data-tooltip-anchor="#tooltip_content00312"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">VEHICLE</span></span> unit from your army is at <span class="tooltip00059" data-tooltip-content="#tooltip_content00059"><span class="tt kwbu">Starting</span> <span class="tt kwbu">Strength</span></span>, unless that unit is an <span class="tooltip00508" data-tooltip-content="#tooltip_content00508" data-tooltip-anchor="#tooltip_content00508"><span class="kwb kwbu">AIRCRAFT</span></span> or it is <span class="tooltip00011" data-tooltip-content="#tooltip_content00011"><span class="tt kwbu">Battle-shocked</span></span>, add 2 to the Objective Control characteristic of models in that unit.</li><li>While an <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">VEHICLE</span> unit from your army is below Starting Strength, each time a model in that unit makes an attack, re-roll a <span class="tooltip00017" data-tooltip-content="#tooltip_content00017"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 1.</li><li>While an <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">VEHICLE</span> unit from your army is <span class="tooltip00060" data-tooltip-content="#tooltip_content00060"><span class="tt kwbu">Below</span> <span class="tt kwbu">Half-strength</span></span>, each time a model in that unit makes an attack, re-roll a Hit roll of 1 and re-roll a <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> of 1.</li></ul><br><span class="hi_custom">MORITOI ANCIENTS</span><br><p class="ShowFluff legend2">The Adeptus Custodesâ honoured fallen are ever eager for battle.</p>Add 2" to the Move characteristic of models in <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">WALKER</span> units from your army and add 1 to <span class="tooltip00010" data-tooltip-content="#tooltip_content00010"><span class="tt kwbu">Advance</span></span> and <span class="tooltip00049" data-tooltip-content="#tooltip_content00049"><span class="tt kwbu">Charge</span> <span class="tt kwbu">rolls</span></span> made for such units.<br><br><span class="hi_custom">KEYWORDS</span><br>In the Muster Armies step, you can select up to 2 <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">WALKER</span> models from your army. The selected units gain the <span class="kwb">CHARACTER</span> keyword.<br><br><b>Designerâs Note:</b> <i>This means that the selected models can be given Enhancements and one of them can be selected as your <span class="kwb">WARLORD</span>.</i>|Solar Spearhead|
000009986|AC|Against All Odds|The Adeptus Custodes are outnumbered on every battlefield upon which they fight, yet no matter the foe, and no matter their number, the Lions of the Emperor will prevail.|Each time a model in an <span class="tooltip00309" data-tooltip-content="#tooltip_content00309" data-tooltip-anchor="#tooltip_content00309"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> unit from your army (excluding <span class="tooltip00509" data-tooltip-content="#tooltip_content00509" data-tooltip-anchor="#tooltip_content00509"><span class="kwb kwbu">VEHICLES</span></span>) makes an attack, if there are no other friendly units within 6" of that unit, add 1 to the <span class="tooltip00017" data-tooltip-content="#tooltip_content00017"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> and add 1 to the <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span>.|Lions of the Emperor|
000008384|AdM|Rad-bombardment|Whether as a result of natural phenomena, apocalyptic internecine strife or calamitous accidents, many forge worlds are heavily irradiated. When holy wars of requisition are unleashed, the Tech-Priests think nothing of turning this invisible curse upon their foes, bombarding the battlefield with deadly radiation prior to an assault.|<div class="whiteDiamondLine">BATTLE ROUND<div class="whiteDiamondWrap"><div class="redDiamondSpan"><div class="whiteDiamondSpan"><div class="whiteDiamondText">1</div></div></div></div></div><span class="hi_custom">BOMBARDMENT</span><br>At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, for each enemy unit within your opponents deployment zone, your opponent must decide whether that unit will take cover or stand firm. You then roll one D6 for each of those enemy units and apply the relevant result below:<br><ul><li><b>Unit Standing Firm:</b> On a 3+, that unit suffers D3 <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>.</li><li><b>Unit Taking Cover:</b> Until the end of the battle round, that unit is <span class="tooltip00011" data-tooltip-content="#tooltip_content00011"><span class="tt kwbu">Battle-shocked</span></span> and, on a 5+, that unit suffers D3 mortal wounds.</li></ul><br><div class="whiteDiamondLine">BATTLE ROUND<div class="whiteDiamondWrap"><div class="redDiamondSpan"><div class="whiteDiamondSpan"><div class="whiteDiamondText">2</div></div></div></div>     &emsp;&emsp;&nbsp;&nbsp;&nbsp;&nbsp;ONWARDS</div><span class="hi_custom">FALLOUT</span><br>At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> during the second, third, fourth and fifth battle rounds, roll one D6 for each enemy unit within your opponentâs deployment zone. On a 3+, that unit suffers 1 mortal wound and must take a Battle-shock test.|Rad-Zone Corps|
