ï»¿faction_id|id|name|type|cp_cost|legend|turn|phase|detachment|description|
|000009218006|EXPLOSIVE CLEARANCE|Boarding Actions â Battle Tactic Stratagem|1|A well-placed explosive munition in confined shipboard spaces can cause bloody carnage.|Your turn|Shooting phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Select one model in your unit that is equipped with a weapon with the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Blast">[BLAST]</a></span> ability. Until the end of the phase, when determining how many models are in the target unit for the purpose of that ability, include models that are not <a href="/wh40k10ed/the-rules/boarding-action-rules/#Visibility">visible</a> to the attacking model. In addition, attacks made with that weapon can be allocated to models that are not visible to the attacking model.|
|000009218005|INSANE BRAVERY|Boarding Actions â Epic Deed Stratagem|1|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock</a> step of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, just after you have failed a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a> taken for a unit from your army.<br><br><b>TARGET:</b> The unit from your army that Battle-shock test was just taken for (even though your Battle-shocked units cannot normally be affected by your Stratagems).<br><br><b>EFFECT:</b> Your unit is treated as having passed that test instead, and is not Battle-shocked as a result.|
|000009218002|COMMAND RE-ROLL|Boarding Actions â Epic Deed Stratagem|1|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either playerâs turn|Any phase||<b>WHEN:</b> Any phase, just after you have made a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>, a Damage roll, a <a href="/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a>, an <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Desperate Escape test</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">Hazardous test</a>, or just after you have rolled the dice to determine the number of attacks made with a weapon, for an attack, model or unit from your army.<br><br><b>TARGET:</b> That unit or model from your army.<br><br><b>EFFECT:</b> You re-roll that roll, test or saving throw.|
|000009218004|COUNTER-OFFENSIVE|Boarding Actions â Strategic Ploy Stratagem|2|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either playerâs turn|Fight phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has fought.<br><br><b>TARGET:</b> One unit from your army that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units and that has not already been selected to fight this phase.<br><br><b>EFFECT:</b> Your unit fights next.|
|000009218003|BATTLEFIELD COMMAND|Boarding Actions â Strategic Ploy Stratagem|1|The commander's authoritative tone cuts through the din of battle, guiding the actions of nearby troops.|Either playerâs turn|Any phase||<b>WHEN:</b> Start or end of any phase.<br><br><b>TARGET:</b> One <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> unit from your army and one friendly <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Bodyguard</a> unit within 6" of it that it could normally be attached to.<br><br><b>EFFECT:</b> Select one of your Leader unitâs <a href="/wh40k10ed/the-rules/boarding-action-rules/#Leader-Abilities">Leader abilities</a>. Until the start of your next <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, that Bodyguard unit is treated as being led by that Leader unit for the purposes of that Leader ability.<br><br><b>RESTRICTIONS:</b> Once you target a unit with this Stratagem, that unit cannot be targeted with it again until your next Command phase.|
|000010252002|RENEWED FOCUS|Challenger â Battle Tactic Stratagem|0|Shutting out the din of battle, these warriors focus only on their foes, unleashing an inescapable fusillade of death and destruction.|Your turn|Shooting or Fight phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or your <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1 and re-roll a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> of 1.|
|000010254002|ALL IN|Challenger â Strategic Ploy Stratagem|0|The time has come to commit your forces. Order your soldiers forward, pursue the foe and cut them down without mercy. Victory or death!|Your turn|Fight phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes a <a href="/wh40k10ed/the-rules/core-rules/#1.-Pile-In">Pile-in</a> or <a href="/wh40k10ed/the-rules/core-rules/#3.-Consolidate">Consolidation move</a>, it can move up to 6" instead of up to 3". In addition, it does not need to end that move closerto the closest enemy model, provided it ends it as close as possible to the closest enemy unit.|
|000010255002|STRATEGIC RETREAT|Challenger â Strategic Ploy Stratagem|0|The soundest military minds find no shame in signalling a retreat. Strength preserved may prove pivotal at a later juncture.|Your turn|Shooting phase||<b>WHEN:</b> Start of your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One unit from your army (excluding <span class="kwb">MONSTERS</span> and <span class="kwb">VEHICLES</span>) that is not within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Remove your unit from the battlefield and place it into <a href="/wh40k10ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a>.|
|000010251002|PIVOTAL MOMENT|Challenger â Strategic Ploy Stratagem|0|The outcome of the battle hangs in the balance. This is the time to strike hard and without mercy.|Your turn|Movement phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot and <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advanced</a> or <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fell Back</a>.|
|000010250002|GREAT HASTE|Challenger â Strategic Ploy Stratagem|0|Speed is often the key to victory, and this unit is blessed with exceptional celerity.|Your turn|Movement phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to move this phase.<br><br><b>EFFECT:</b> Until the end of the phase, add D6" to the Move characteristic of models in your unit.|
